cards from: /Users/luna/flash-cards/languages/german/aqa/GCSE/unit1.txt
Round 1:
✓ both                                                                       beide
✗ the relationship (starts with B)                                           die Beziehung(en)
✓ the person                                                                 die Person(en)
✓ to try (starts with v)                                                     versuchen
✓ the flat, apartment                                                        die Wohnung(en)
✓ to do, to undertake                                                        unternehmen
✓ unbearable                                                                 unerträglich
✗ to look forward to (reflexive)                                             sich freuen auf
✗ to spoil                                                                   verderben
✓ the present, gift                                                          das Geschenk(e)
✗ reliable                                                                   zuverlässig
✓ to get divorced (reflexive)                                                sich scheiden lassen
✓ to admit                                                                   zugeben
✓ to call in, drop by                                                        vorbeikommen
✓ to feel (starts with f) (reflexive)                                        sich fühlen
✓ to turn to (reflexive)                                                     sich wenden an
✓ honest                                                                     ehrlich
✗ the parent                                                                 der Elternteil(e)
✓ the future (has "die")                                                     die Zukunft
✓ to lose                                                                    verlieren
✓ single, unmarried (starts with lowercase L)                                ledig
✓ the married couple                                                         das Ehepaar(e)
✗ to hesitate                                                                zögern
✗ the community, group                                                       die Gemeinschaft(en)
✗ divorced                                                                   geschieden
✓ the society                                                                die Gesellschaft(en)
✗ the waste                                                                  die Verschwendung
✓ to rely on (reflexive)                                                     sich verlassen auf
✓ to describe                                                                beschreiben
✓ to discuss                                                                 besprechen
✗ to get on with (2 words)                                                   auskommen mit
✓ to introduce oneself, to imagine (reflexive)                               sich vorstellen
Score: 25/35 (71.42857142857143%)

Round 3:
✗ reliable                                                                   zuverlässig
✓ to look forward to (reflexive)                                             sich freuen auf
✗ to get on with (2 words)                                                   auskommen mit
✓ the community, group                                                       die Gemeinschaft(en)
✓ the waste                                                                  die Verschwendung
✗ the relationship (starts with B)                                           die Beziehung(en)
✓ divorced                                                                   geschieden
✗ to hesitate                                                                zögern
✓ to spoil                                                                   verderben
✓ the parent                                                                 der Elternteil(e)
Score: 6/10 (60.0%)

Round 4:
✓ the relationship (starts with B)                                           die Beziehung(en)
✓ reliable                                                                   zuverlässig
✓ to hesitate                                                                zögern
✓ to get on with (2 words)                                                   auskommen mit
Score: 4/4 (100.0%)

-normal
-rand-every-round
-no-flip
No. terms in the card set = 146
highest_streak = 15
perfect_streak = False
