cards from: /Users/luna/flash-cards/languages/german/aqa/GCSE/unit1.txt
Round 1:
✓ honest                                                                     ehrlich
✓ in no way, the phrase "no way"                                             keineswegs
✗ the engagement                                                             die Verlobung(en)
✓ the bridegroom                                                             der Bräutigam(e)
✓ divorced                                                                   geschieden
✓ there is/there are                                                         es gibt
✓ to wait, to expect                                                         erwarten
✓ the future (has "die")                                                     die Zukunft
✓ unbearable                                                                 unerträglich
✗ the dance floor                                                            die Tanzfläche(n)
✓ constantly                                                                 ständig
✓ in public                                                                  öffentlich
✓ the risks                                                                  die Risiken
✓ the parent                                                                 der Elternteil(e)
✓ the stepsister (has "die")                                                 die Stiefschwester(n)
✗ the pressure                                                               der Druck(e)
✓ to live (as in, to be alive, starts with lowercase L)                      leben
✓ to solve                                                                   lösen
✗ the widower                                                                der Witwer(-)
✓ the solution                                                               die Lösung(en)
✓ to break up                                                                in die Brüche gehen
✓ the marriage                                                               die Ehe(n)
✓ the habit                                                                  die Angewohnheit(en)
✓ to stay together                                                           zusammenbleiben
✓ the person                                                                 die Person(en)
✗ the society                                                                die Gesellschaft(en)
✓ to get on with (2 words)                                                   auskommen mit
✓ important (starts with w)                                                  wichtig
✓ the cousin (female)                                                        die Cousine(n)
✓ necessary (starts wtih "nö")                                               nötig
✓ to lose                                                                    verlieren
✓ the partner (male)                                                         der Partner(-)
✓ the uncle                                                                  der Onkel(- or s)
✓ childless                                                                  kinderlos
✓ to last                                                                    dauern
✗ get on with (verb starts with v) (reflexive)                               sich verstehen mit
✓ the family                                                                 die Familie(n)
✓ to suffer, to stand                                                        leiden
✓ the friendship                                                             die Freundschaft(en)
✓ definite, definitely, certain, certainly (starts with b)                   bestimmt
✓ to be lucky (2 words)                                                      Glück haben
✓ for (a period of time), since                                              seit
✓ the grandpa                                                                der Opa(s)
✓ shared together, in common                                                 gemeinsam
✓ to have a sense of humour                                                  einen Sinn für Humor haben
✗ the town                                                                   die Stadt(¨e)
✓ the partner (female)                                                       die Partnerin(nen)
✓ with each other, together (literally: "withoneanother")                    miteinander
✓ to discuss                                                                 besprechen
✓ the couple                                                                 das Paar(e)
✓ the cousin (male)                                                          der Cousin(s)
✓ the circle of friends                                                      der Freundeskreis(e)
✓ necessary, essential (doesn't have a ö in the word)                        notwendig
✓ the reason                                                                 der Grund(e)
✓ to argue (reflexive)                                                       sich streiten
✓ against, opposed to something                                              dagegen
✓ the advantage                                                              der Vorteil(e)
✓ to get divorced (reflexive)                                                sich scheiden lassen
✓ content, happy (starts with z)                                             zufrieden
✓ to get on one's nerves (4 words)                                           auf die Nerven gehen
✓ to look for, to search                                                     suchen
✓ the argument                                                               der Streit(e)
✓ the violin                                                                 die Geige(n)
✓ the girlfriend, friend who just so happens to be a girl                    die Freundin(nen)
✓ the recipe                                                                 das Rezept(e)
✓ to look like, to appear (1 word)                                           aussehen
✓ loving, affectionate                                                       liebevoll
✓ something good                                                             etwas Positives
✓ the widow                                                                  die Witwe(n)
✓ to turn to (reflexive)                                                     sich wenden an
✓ patient                                                                    geduldig
✓ the present, gift                                                          das Geschenk(e)
✓ to do, to undertake                                                        unternehmen
✓ the idea (starts with A)                                                   die Ahnung(en)
✓ to need (starts with "br")                                                 brauchen
✓ usual                                                                      üblich
✓ the stepmother (has "der")                                                 der Stiefmutter(¨)
✓ the grandma                                                                die Oma(s)
✓ the grandmother                                                            die Großmutter(¨)
✓ to spoil                                                                   verderben
✓ now and then                                                               dann und wann
✓ to admit                                                                   zugeben
✓ engaged (to someone)                                                       verlobt
✗ to try (starts with v)                                                     versuchen
Score: 134/146 (91.78082191780823%)

Round 2:
✓ to look forward to (reflexive)                                             sich freuen auf
✓ to introduce oneself, to imagine (reflexive)                               sich vorstellen
✗ the community, group                                                       die Gemeinschaft(en)
✓ relaxed                                                                    entspannt
✓ the engagement                                                             die Verlobung(en)
✓ the dance floor                                                            die Tanzfläche(n)
✓ the pressure                                                               der Druck(e)
✓ the widower                                                                der Witwer(-)
✓ the society                                                                die Gesellschaft(en)
✓ get on with (verb starts with v) (reflexive)                               sich verstehen mit
✓ the town                                                                   die Stadt(¨e)
✓ to try (starts with v)                                                     versuchen
Score: 11/12 (91.66666666666666%)

Round 3:
✓ the community, group                                                       die Gemeinschaft(en)
Score: 1/1 (100.0%)

max_streak = 37
perfect_streak = False
